name,description,default_price_data,unit_label
*Elephant Heat Pump Carbon Credit Bonus,,-$500.00,1
$200 Xcel Rebate,,$0.00,1
3 Ton Heat Pump,,$0.00,1
3 Ton Hyper-heating Heat Pump Installation and Commissioning,,$0.00,1
3.5 Ton Mitsubishi Hyper-Heat Heat Pump,,$0.00,1
4-Ton Mitsubishi Heat Pump Installation and Commissioning,,$0.00,1
4.5 Ton Heat Pump,,$0.00,1
Add Steam Humidifier,,"$3,046.00",1
Add Subpanel,,"$1,500.00",1
Addition of 2 mini-split heads,,"$4,646.00",1
Additional downstairs register,,$750.00,1
Additional Wiring and EV Charger Installation,,"$1,775.00",1
Aeroseal,,"$2,700.00",1
Aeroseal Duct Repair and Sealing,,"$2,900.00",1
Aerosealing,,"$3,000.00",1
Air Sealing and Attic Insultation,,"$2,875.00",1
Air Source Heat Pump,,"$20,291.00",1
Air Transfer Grilles,,$300.00,1
Airflow Analysis with Supply Round Pipe Repair,,$395.00,1
Amount withheld until passed inspection 10% of total cost of project,,"-$1,252.00",1
AO Smith 50 Gallon Heat Pump Water Heater,,"$3,750.00",1
AO Smith Water Heater Installation and Commissioning,,"$7,504.00",1
Basement Airsealing and Crawlspace Insulation and Airsealing,,"$2,730.00",1
Bath fan installation,,"$1,750.00",1
Bosch BOVA 2.0 Cold Climate Heat Pump,,"$24,910.00",1
Carbon Credit,,-$500.00,1
Carbon Credit - Elephant Energy,,-$500.00,1
Carbon Credit (upfront price reduction),,-$500.00,1
Cash Discount,,-$689.00,0.5
Cash Payment for Home Electrification Projects,,"$18,000.00",1
Change Order,,"$4,110.00",1
Circuits for following,,"$6,048.00",1
City of Denver Electrical Rebate (upfront - to Elephant),,"-$2,000.00",1
City of Denver Electrical Upgrade Rebate (Upfront - direct to Elephant),,"-$1,976.00",1
City of Denver Electrical Upgrade Rebates,,"-$2,000.00",1
City of Denver Heat Pump Rebate (Upfront - direct to Elephant),,"-$3,500.00",1
City of Denver Heat Pump Rebates,,"-$3,500.00",1
City of Denver Heat Pump Water Heater Rebates (Upfront - direct to Elephant),,"-$1,750.00",1
City of Denver HP Water Heater Rebate (upfront - to Elephant),,"-$1,750.00",1
Cold Weather Backup Heat Kit,,"$2,525.00",1
Correction for cent rounding,,-$1.00,1
Countertop Granite Cut,,$500.00,1
Crawlspace EE Upgrades/fixes,,"$2,844.00",1
Crawlspace joist insulation removal/disposal,,$725.00,1
Credit,,-$250.00,1
Credit - Elephant Energy Proposal Error in Customer's Favor,,-$500.00,1
Credit - Future HPWH Install (2024),,"-$6,213.00",1
Credit for Aeroseal,,-$200.00,1
Credit for BOVA unit,,-$400.00,1
Credit for City of Denver Electrical Upgrade rebates sent directly to Elephant Energy,,-$988.00,1
Credit for City of Denver Heat Pump rebates sent directly to Elephant Energy,,"-$3,500.00",1
Credit for City of Denver rebate sent directly to Elephant Energy,,"-$3,500.00",1
Credit for City of Denver rebate sent directly to Elephant Energy,,"-$3,500.00",1
Credit for City of Denver rebate sent directly to Elephant Energy,,"-$1,600.00",1
Credit for City of Denver rebate sent directly to Elephant Energy,,"-$1,750.00",1
Credit for City of Denver rebate sent directly to Elephant Energy,,"-$3,500.00",1
Credit for City of Denver rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for City of Denver rebate sent directly to Elephant Energy,,"-$3,500.00",1
Credit for City of Denver rebate sent directly to Elephant Energy,,"-$1,750.00",1
Credit for City of Denver rebate sent directly to Elephant Energy,,"-$7,250.00",1
Credit for City of Denver rebate sent directly to Elephant Energy (smart HPWH,,"-$1,750.00",1
Credit for City of Denver rebate sent directly to Elephant Energy (smart HPWH,,"-$1,750.00",1
Credit for customer good will,,-$530.00,1
Credit for Denver rebate sent directly to Elephant Energy,,"-$3,500.00",1
Credit for Denver rebate sent directly to Elephant Energy (Electrical),,"-$2,000.00",1
Credit for Denver Rebate sent directly to Elephant Energy (Electrical),,"-$1,716.00",1
Credit for Denver rebate sent directly to Elephant Energy (HP),,"-$1,750.00",1
Credit for Denver Rebate sent directly to Elephant Energy (HP),,"-$3,500.00",1
Credit for Denver rebates sent directly to Elephant Energy,,"-$1,750.00",1
Credit for Denver rebates sent directly to Elephant Energy,,"-$5,200.00",1
Credit for Denver rebates sent directly to Elephant Energy,,"-$3,500.00",1
Credit for Denver Rebates sent directly to Elephant Energy (Electrical),,-$640.00,1
Credit for Denver rebates sent directly to Elephant Energy (Electrical),,-$988.00,1
Credit for Denver Rebates sent directly to Elephant Energy (Heat Pump),,"-$3,500.00",1
Credit for Denver rebates sent directly to Elephant Energy (HP),,"-$3,500.00",1
Credit for deposit paid,,"-$8,684.00",1
Credit for drywall repair,,-$625.00,1
Credit for drywall repair (no repair required),,-$500.00,1
Credit for Early IRA Discount,,"-$2,000.00",1
Credit for Efficiency Works Rebate directly to Elephant,,"-$2,800.00",1
Credit for Efficiency Works rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for Efficiency Works rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for floor drain,,"-$1,000.00",1
Credit for Handyman,,-$215.00,1
Credit for HP rebates sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,200.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$4,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
Credit for HP Xcel rebate sent directly to Elephant Energy,,"-$2,000.00",1
